module,version,arch,kernel_ver,tarball,docs,installdir,fname
crun,1.6,x86_64,,crun-x86_64.tgz,COPYING.crun,bin/,crun-x86_64
proot,5.1.1,arm,<4.8.0,proot-arm.tgz,COPYING.proot,bin/,proot-arm
proot,5.1.1,arm64,,proot-arm64-4_8_0.tgz,COPYING.proot,bin/,proot-arm64-4_8_0
proot,5.1.1,armel,,proot-armel.tgz,COPYING.proot,bin/,proot-armel
proot,5.1.1,armhf,,proot-armhf.tgz,COPYING.proot,bin/,proot-armhf
proot,5.1.1,x86,<4.8.0,proot-x86.tgz,COPYING.proot,bin/,proot-x86
proot,5.1.1,x86,>=4.8.0,proot-x86-4_8_0.tgz,COPYING.proot,bin/,proot-x86-4_8_0
proot,5.1.1,x86_64,<4.8.0,proot-x86_64.tgz,COPYING.proot,bin/,proot-x86_64
proot,5.1.1,x86_64,>=4.8.0,proot-x86_64-4_8_0.tgz,COPYING.proot,bin/,proot-x86_64-4_8_0
runc,1.1.4,x86_64,,runc-x86_64.tgz,LICENSE.runc,bin/,runc-x86_64
runc,1.1.4,arm64,,runc-arm64.tgz,LICENSE.runc,bin/,runc-arm64
runc,1.1.4,ppc64le,,runc-ppc64le.tgz,LICENSE.runc,bin/,runc-ppc64le
patchelf,0.9,x86_64,,patchelf-x86_64.tgz,COPYING.patchelf,bin/,patchelf-x86_64
patchelf,0.9,arm64,,patchelf-arm64.tgz,COPYING.patchelf,bin/,patchelf-arm64
patchelf,0.9,ppc64le,,patchelf-ppc64le.tgz,COPYING.patchelf,bin/,patchelf-ppc64le
libfakechroot,2.18,x86_64,,libfakechroot-x86_64.tgz,LIC-COPY-fakechroot.tgz,lib/,
libfakechroot,2.18,arm64,,libfakechroot-arm64.tgz,LIC-COPY-fakechroot.tgz,lib/,
libfakechroot,2.18,ppc64le,,libfakechroot-ppc64le.tgz,LIC-COPY-fakechroot.tgz,lib/,
all,1.2.10,,,udocker-englib-1.2.10.tar.gz,udocker_all_lic.tgz,./,
